openness-vs-oversharing|انفتاح أم إفراط في الإفصاح؟ الصراحة لا تعني كشف كل شيء فورًا|comparison|relationships|انفتاح صحي|إفراط في الإفصاح|الانفتاح يبني الثقة تدريجيًا مع مراعاة الأمان والسياق، بينما قد يأتي الإفراط في الإفصاح من حاجة عاجلة للقبول ثم يترك ندمًا أو شعورًا بالانكشاف.|هل تختار ما تشاركه مع شخص آمن وفي وقت مناسب، أم تشعر أنك مضطر لقول تفاصيل كثيرة كي لا تُرفض؟|تدرج في مشاركة التفاصيل~احترام خصوصيتك وخصوصية الآخرين~إمكانية التوقف دون خوف
empathy-vs-emotional-absorption|تعاطف أم امتصاص لمشاعر الآخرين؟ فهم الألم لا يتطلب أن تغرق فيه|comparison|care|تعاطف|استنزاف عاطفي|التعاطف يتيح فهم الآخر مع بقاء حدودك وقدرتك على التعافي، أما الامتصاص العاطفي فيجعل مزاج الآخرين يسيطر على جسمك وقراراتك.|هل تستطيع المساندة ثم العودة إلى توازنك، أم تحمل المشاعر معك لساعات وتنسى احتياجاتك؟|تمييز شعورك عن شعور الآخر~الحفاظ على النوم والحدود~عدم تحمل مسؤولية إصلاح الجميع
forgiveness-vs-reconciliation|مسامحة أم مصالحة؟ يمكنك تخفيف حملك دون إعادة العلاقة|comparison|relationships|مسامحة|مصالحة|المسامحة عملية داخلية قد تقلل التعلق بالأذى، بينما المصالحة قرار علائقي يحتاج أمانًا ومسؤولية وتغيرًا يمكن ملاحظته.|هل توجد مسؤولية وإصلاح وحدود تجعل العودة آمنة، أم يُطلب منك النسيان دون تغير؟|الاعتراف الواضح بالأذى~تغير سلوكي مستمر~حرية اختيار المسافة
accountability-vs-self-blame|تحمل مسؤولية أم جلد ذات؟ الإصلاح لا يحتاج إهانة نفسك|comparison|general|مسؤولية|جلد ذات|تحمل المسؤولية يحدد السلوك والأثر والخطوة التصحيحية، بينما جلد الذات يحول الخطأ إلى حكم شامل بالعجز أو عدم الاستحقاق.|هل تقودك المراجعة إلى إصلاح محدد، أم إلى تكرار عبارات قاسية تشلك عن الفعل؟|تسمية السلوك دون تعميم~إصلاح الضرر الممكن~التعلم بدل العقاب المستمر
confidence-vs-defensiveness|ثقة أم دفاعية؟ الشخص الواثق يستطيع سماع الملاحظة|comparison|general|ثقة|دفاعية|الثقة تسمح بمراجعة المعلومة دون انهيار القيمة الذاتية، بينما الدفاعية تفسر النقد كله كتهديد وترد بالإنكار أو الهجوم.|هل تستطيع طلب مثال والتفكير قبل الرد، أم تحتاج فورًا إلى إثبات أن الآخر مخطئ؟|القدرة على الاعتراف بجزء صحيح~فصل السلوك عن قيمة الذات~تأجيل الرد عند الاستثارة
support-vs-enabling|دعم أم تمكين للسلوك المؤذي؟ المساعدة لا تعني إلغاء النتائج|comparison|care|دعم|تغطية الضرر|الدعم يقوي المسؤولية ويقدم موارد وحدودًا، أما تغطية الضرر فتحمي السلوك من نتائجه وتحمّل المساند أعباء لا تخصه.|هل تزيد مساعدتك قدرة الشخص على التغيير، أم تزيل كل نتيجة فيستمر النمط؟|اتفاق واضح على حدود المساعدة~عدم الكذب أو دفع الأضرار المتكررة~ربط الدعم بخطة واقعية
routine-vs-rigidity|روتين أم جمود؟ النظام المفيد يتكيف عندما تتغير الحياة|comparison|general|روتين مرن|جمود|الروتين يقلل الفوضى ويدعم الطاقة مع إمكانية التعديل، بينما الجمود يجعل أي تغيير مصدر تهديد ويقدم القاعدة على الاحتياج الحقيقي.|هل تستطيع تعديل الخطة دون انهيار اليوم، أم يسبب التغيير غضبًا أو خوفًا يعطل الجميع؟|وجود بدائل مسبقة~المرونة في التوقيت والترتيب~بقاء الهدف أهم من الشكل
healthy-anger-vs-aggression|غضب صحي أم عدوان؟ قوة الشعور لا تبرر الأذى|comparison|general|غضب|عدوان|الغضب إشارة يمكن التعبير عنها بحدود وكلمات، بينما العدوان سلوك يهدد أو يهين أو يؤذي ويحتاج إيقافًا ومسؤولية.|هل تصف ما حدث وما تحتاجه، أم تستخدم الخوف أو الإهانة أو القوة لإخضاع الآخر؟|توقف قبل التصعيد~لغة محددة بلا تهديد~تحمل مسؤولية الأثر
disappointment-vs-hopelessness|خيبة أمل أم يأس؟ فشل واحد لا يساوي مستقبلًا مغلقًا|comparison|depression|خيبة أمل|يأس|خيبة الأمل ترتبط بنتيجة أو توقع محدد، بينما اليأس يعمم العجز على المستقبل كله وقد يصاحب انخفاضًا شديدًا في المزاج والدافعية.|هل ما زلت ترى خيارات أخرى ولو بصعوبة، أم تشعر أن لا شيء يمكن أن يتغير في أي مجال؟|ارتباط الشعور بحدث محدد~القدرة على تصور بدائل~مراقبة أفكار انعدام الجدوى
fatigue-vs-sleepiness|إرهاق أم نعاس؟ قد تكون مستنزفًا دون رغبة فعلية في النوم|comparison|sleep|إرهاق|نعاس|الإرهاق انخفاض في الطاقة الجسدية أو الذهنية، أما النعاس فهو ميل مباشر للنوم وقد يشير إلى نقص نوم أو اضطراب يحتاج مراجعة.|هل تتحسن بغفوة أو نوم كافٍ، أم يبقى الثقل رغم عدم قدرتك على النوم؟|تثاؤب وغفوات غير مقصودة~ثقل ذهني أو عضلي~توقيت الأعراض وعلاقتها بالنوم
focus-break-vs-digital-distraction|استراحة تركيز أم تشتت رقمي؟ الهاتف قد يطيل التعب بدل تخفيفه|comparison|digital|استراحة مقصودة|تشتت رقمي|الاستراحة المقصودة لها بداية ونهاية وتعيد الانتباه، بينما التشتت الرقمي يجر إلى محتوى متتابع ويجعل العودة للمهمة أصعب.|هل تعود في الوقت الذي حددته بطاقة أفضل، أم تفقد الوقت وتحتاج دفعة أكبر للبدء؟|اختيار نشاط استشفاء واضح~إيقاف الإشعارات~مؤقت ونقطة عودة محددة
child-opposition-vs-overwhelm|معارضة أم غمر نفسي؟ الطفل قد يرفض لأنه لم يعد قادرًا على التنظيم|comparison|child|معارضة مقصودة|غمر وإنهاك|المعارضة تتضمن قدرة على التفاوض والاختيار، بينما الغمر يحدث عندما تتجاوز المطالب أو المثيرات قدرة الطفل على الفهم والتنظيم.|هل يتحسن السلوك عند تقليل المثيرات وتبسيط الطلب، أم يستمر كصراع على القاعدة في ظروف متعددة؟|إشارات تعب أو ضوضاء قبل الرفض~فقد اللغة أو المرونة أثناء التصعيد~تحسن بعد الهدوء والدعم
teen-privacy-vs-withdrawal|خصوصية المراهق أم انسحاب مقلق؟ الباب المغلق ليس الدليل الوحيد|comparison|teen|خصوصية نمائية|انسحاب مقلق|الخصوصية الطبيعية تتعايش مع بعض الاتصال والوظائف، بينما الانسحاب المقلق يترافق مع تراجع مستمر في العلاقات أو الدراسة أو العناية بالنفس.|هل يحتفظ المراهق بمساحته مع بقاء روابط وأنشطة، أم تقل حياته تدريجيًا ويختفي الاهتمام؟|بقاء صديق أو نشاط مهم~تغير ملحوظ في النوم والأداء~رفض مستمر لكل اتصال
advice-vs-control|نصيحة أم سيطرة؟ عرض الرأي لا يمنحك حق القرار عن الآخر|comparison|relationships|نصيحة|سيطرة|النصيحة تقدم معلومة وتترك القرار لصاحبه، بينما السيطرة تستخدم الضغط أو الذنب أو العقاب لفرض اختيار محدد.|هل يمكن للطرف الآخر أن يرفض رأيك دون خوف أو خسارة العلاقة؟|طلب الإذن قبل النصح~احترام القرار المختلف~غياب التهديد أو الابتزاز
resilience-vs-emotional-denial|مرونة أم إنكار للمشاعر؟ الاستمرار لا يعني أنك لم تتأثر|comparison|trauma|مرونة|إنكار عاطفي|المرونة تعترف بالأثر وتستخدم الدعم ثم تستعيد الوظيفة، بينما الإنكار يدفع المشاعر بعيدًا وقد تظهر لاحقًا في الجسد أو العلاقات.|هل تستطيع تسمية ما حدث وطلب ما تحتاجه، أم تضطر للقول إنك بخير رغم إشارات واضحة للعكس؟|الاعتراف بالألم دون استسلام له~استخدام الدعم والتعافي~عدم السخرية من الاحتياج
family-emotional-safety-check|هل أسرتك آمنة عاطفيًا؟ 10 أسئلة عن الخوف والاحترام والإصلاح|check|relationships|||الأمان العاطفي لا يعني غياب الخلاف، بل القدرة على الكلام والرفض والاعتذار دون إذلال أو تهديد أو عقاب طويل.|هل يستطيع كل فرد التعبير عن احتياجه دون خوف من السخرية أو الانتقام؟|هل يمكن الاعتراض باحترام؟~هل تعود الأسرة للحوار بعد الهدوء؟~هل الاعتذار يتبعه تغير؟~هل الخصوصية محترمة؟~هل الأطفال بعيدون عن صراعات الكبار؟
workplace-bullying-check|هل تتعرض لتنمر وظيفي؟ افحص النمط المتكرر لا يومًا سيئًا|check|work|||التنمر الوظيفي نمط متكرر من الإهانة أو العزل أو التخويف أو تقويض العمل، وليس مجرد ملاحظة مهنية أو خلاف عابر.|هل يتكرر السلوك ويستهدف كرامتك أو قدرتك على أداء عملك أمام الآخرين أو بعيدًا عنهم؟|هل توجد إهانات أو سخرية متكررة؟~هل تُحجب معلومات لازمة للعمل؟~هل تتغير القواعد ضدك وحدك؟~هل تخشى الانتقام عند الاعتراض؟~هل توثق الوقائع والتواريخ؟
